City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Acarau,BR,78.35,scattered clouds,-2.8856,-40.12,
409,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,
412,Valleyview,CA,75.24,scattered clouds,55.0667,-117.2859,
414,Sao Filipe,CV,79.23,overcast clouds,14.8961,-24.4956,
415,Meadow Lake,US,89.08,scattered clouds,34.8014,-106.5436,
416,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,
417,Itoman,JP,86.02,few clouds,26.1247,127.6694,
425,Kefalos,GR,77.22,few clouds,36.7453,26.9589,
426,Tefe,BR,86.11,few clouds,-3.3542,-64.7114,
431,Nara,JP,85.96,broken clouds,34.6851,135.8049,
436,Masjid Tanah,MY,78.69,scattered clouds,2.3455,102.1107,
438,Buala,SB,83.07,moderate rain,-8.145,159.5921,
439,Kieta,PG,82.67,broken clouds,-6.2167,155.6333,
442,Bafoulabe,ML,79.84,few clouds,13.8065,-10.8321,
450,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,
451,Ruidoso,US,86.95,broken clouds,33.3317,-105.673,
459,Jinxi,CN,79.36,scattered clouds,30.4323,116.2922,
460,Minbu,MM,77.36,overcast clouds,20.1833,94.8833,
463,Solin,HR,83.52,clear sky,43.55,16.5,
464,Kalamata,GR,79.11,few clouds,37.0389,22.1142,
465,Bani Walid,LY,75.04,clear sky,31.7566,13.9942,
470,Cedar City,US,89.4,clear sky,37.6775,-113.0619,
472,Hambantota,LK,77.81,overcast clouds,6.1241,81.1185,
474,Sorong,ID,78.08,overcast clouds,-0.8833,131.25,
482,Perpignan,FR,79.74,clear sky,42.75,2.75,
484,Luwuk,ID,77.05,overcast clouds,-0.9516,122.7875,
490,Sola,VU,79.47,scattered clouds,-13.8833,167.55,
492,Drayton Valley,CA,76.03,clear sky,53.2168,-114.9854,
494,Puerto Escondido,MX,82.87,overcast clouds,15.85,-97.0667,
498,Kitaibaraki,JP,85.14,clear sky,36.7833,140.75,
504,Ascension,US,86.11,clear sky,30.2169,-90.9001,
508,Revadanda,IN,76.42,light rain,18.5503,72.9278,
509,Ranot,TH,79.61,overcast clouds,7.7777,100.3213,
510,Tautira,PF,75.11,light rain,-17.7333,-149.15,
511,Macau,MO,84.85,few clouds,22.2006,113.5461,
515,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,
517,Barra Do Garcas,BR,83.01,scattered clouds,-15.89,-52.2567,
